ID, Ano_Nascimento, Educacao, Estado_Civil, Renda, Criancas_Em_Casa, Adolescentes_Em_Casa, Data_Cadastro_Cliente, Gasto_Vinhos, Gasto_Frutas, Gasto_Carnes, Gasto_Peixes, Gasto_Doces, Gasto_Outros, Num_Compras_Promocionais, Num_Compras_Web, Num_Compras_Catalogo, Num_Compras_Loja, Num_Visitas_Web_Mes, Aceitou_Campanha_1, Aceitou_Campanha_2, Aceitou_Campanha_3, Aceitou_Campanha_4, Aceitou_Campanha_5, Aceitou_Campanha_6
9970,1977,Graduação,Casado,"$55,375.00 ",0,1,10/17/13,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0
4002,1960,PhD,Casado,"$77,037.00 ",0,1,10/13/13,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0
10914,1970,Graduação,Solteiro,"$24,163.00 ",1,1,2010-12-13,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0
7279,1969,PhD,Casado,"$69,476.00 ",0,0,9/30/13,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0
10582,1979,Graduação,Casado,"$72,063.00 ",0,1,2007-03-13,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0
4470,1962,Mestrado,Casado,"$58,646.00 ",0,1,2006-10-13,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0
6183,1962,Mestrado,Casado,"$58,646.00 ",0,1,2006-10-13,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0
6379,1949,Mestrado,Viúvo,"$47,570.00 ",1,1,5/29/13,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1
8601,1980,Graduação,Casado,"$80,011.00 ",0,1,4/29/13,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0
4827,1956,PhD,Solteiro,"$54,998.00 ",0,1,2003-10-13,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1
6715,1948,PhD,Solteiro,"$60,200.00 ",0,1,2001-02-13,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0
10676,1982,Graduação,Casado,"$63,211.00 ",0,0,2011-02-12,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1
1041,1973,PhD,Solteiro,"$48,432.00 ",0,1,10/18/12,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1
492,1973,PhD,Viúvo,"$48,432.00 ",0,1,10/18/12,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0
11133,1973,PhD,Viúvo,"$48,432.00 ",0,1,10/18/12,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1
4491,1949,Mestrado,Casado,"$62,845.00 ",1,1,2010-01-12,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0
873,1949,Mestrado,Casado,"$62,845.00 ",1,1,2010-01-12,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1
1631,1965,PhD,Casado,"$65,220.00 ",0,0,2009-03-12,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1
8278,1990,PhD,Casado,"$74,214.00 ",0,0,8/26/12,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0
6815,1980,Ensino Médio,Casado,"$96,547.00 ",0,0,5/23/14,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1
